Date,Open,High,Low,Close,Adj Close,Volume
2023-07-31,47.599998,48.320000,47.480000,48.189999,46.277687,10389900
2023-08-01,47.919998,48.029999,46.939999,47.360001,45.480629,12680100
2023-08-02,47.259998,47.759998,47.099998,47.570000,45.682293,5602000
2023-08-03,47.900002,47.980000,47.340000,47.650002,45.759117,8376300
2023-08-04,47.500000,47.959999,47.049999,47.400002,45.519039,11489500
2023-08-07,47.619999,48.000000,47.200001,47.320000,45.442211,5728200
2023-08-08,47.230000,47.389999,46.360001,46.990002,45.125313,11888100
2023-08-09,47.000000,47.150002,46.509998,46.730000,44.875629,7657700
2023-08-10,47.099998,47.299999,46.730000,46.970001,45.106102,12489000
2023-08-11,47.180000,47.660000,47.040001,47.480000,45.595867,8645400
2023-08-14,47.689999,47.689999,46.939999,47.009998,45.144516,6574200
2023-08-15,47.139999,47.340000,46.680000,46.759998,44.904430,8725900
2023-08-16,46.810001,47.730000,46.810001,47.160000,45.288555,11500000
2023-08-17,47.509998,47.700001,47.180000,47.599998,45.711098,9183800
2023-08-18,47.580002,48.119999,47.330002,47.790001,45.893566,10320100
2023-08-21,48.000000,48.049999,47.310001,47.619999,45.730309,7872500
2023-08-22,47.200001,48.080002,47.080002,47.970001,46.722698,7857600
2023-08-23,48.110001,48.480000,47.630001,48.180000,46.927238,7767600
2023-08-24,48.099998,48.099998,47.330002,47.549999,46.313622,6387600
2023-08-25,47.610001,47.700001,46.410000,46.930000,45.709740,8974100
2023-08-28,47.160000,48.500000,46.950001,48.279999,47.024639,7709200
2023-08-29,48.529999,49.240002,48.330002,48.549999,47.287613,9784800
2023-08-30,48.700001,48.880001,47.799999,47.849998,46.605816,5755400
2023-08-31,47.950001,47.980000,47.020000,47.099998,45.875317,13203600
2023-09-01,47.230000,47.700001,47.189999,47.419998,46.187000,5537000
2023-09-04,47.500000,47.700001,47.180000,47.270000,46.040901,3632300
2023-09-05,47.349998,47.799999,47.009998,47.099998,45.875317,7644100
2023-09-06,47.220001,47.450001,46.770000,46.779999,45.563637,7091800
2023-09-08,46.849998,47.020000,46.299999,46.639999,45.427277,7742600
2023-09-11,47.080002,47.540001,46.840000,47.380001,46.148045,7199900
2023-09-12,47.189999,47.619999,47.090000,47.299999,46.397388,7685200
2023-09-13,47.349998,47.900002,47.130001,47.259998,46.358143,7362800
2023-09-14,47.490002,47.919998,47.189999,47.389999,46.485664,7284900
2023-09-15,47.419998,47.700001,47.110001,47.549999,46.642612,10803000
2023-09-18,47.639999,48.110001,47.349998,47.349998,46.446430,10100400
2023-09-19,47.349998,47.770000,47.070000,47.279999,46.377769,7639100
2023-09-20,47.320000,48.250000,47.270000,47.700001,46.789753,7380300
2023-09-21,47.320000,47.389999,46.470001,46.610001,45.720558,8316800
2023-09-22,46.759998,47.130001,46.599998,46.689999,45.799023,5361400
2023-09-25,46.619999,46.770000,46.169998,46.419998,45.534176,9127000
2023-09-26,46.029999,46.220001,45.570000,45.759998,44.886772,11795000
2023-09-27,46.150002,46.509998,45.619999,46.160000,45.279144,11054500
2023-09-28,46.290001,47.799999,46.230000,47.639999,46.730896,11913600
2023-09-29,47.840000,47.889999,47.099998,47.180000,46.279675,5453200
2023-10-02,47.169998,47.349998,46.900002,47.049999,46.152157,4731200
2023-10-03,47.080002,47.119999,46.320000,46.450001,45.563606,6436600
2023-10-04,46.599998,47.070000,46.180000,46.799999,45.906929,8189700
2023-10-05,46.779999,47.840000,46.599998,46.939999,46.044254,7765000
2023-10-06,46.939999,49.230000,46.709999,48.849998,47.917809,20706800
2023-10-09,48.540001,48.910000,48.230000,48.590000,47.662766,9853500
2023-10-10,48.650002,49.130001,48.470001,48.509998,47.584293,9841000
2023-10-11,48.520000,49.150002,48.509998,48.970001,48.035519,8257000
2023-10-13,49.090000,49.330002,48.650002,48.820000,47.888382,10964100
